time,NasalFlow_cmH2O,SpO2_pct,Activity_gps,PosAngle_deg,AudioVolume_dB,cRIP_Flow
3005.1,-0.004980698113207548,91.839893,0.066992,75.733077,76.709684,1.4402515723270437e-06
3021.0,0.007807006289308176,91.845134,0.077979,75.672039,76.129823,-1.949685534591195e-06
3036.9,-0.008792333333333333,91.836297,0.078894,75.672039,77.197987,2.7421383647798745e-06
3052.8,0.003586433962264151,91.753046,0.054784,75.672039,74.176609,1.1320754716981151e-07
3068.7,0.0007373522012578619,92.934984,0.065771,75.611001,79.547948,1.2578616352201253e-07
3084.6,0.006212251572327045,91.849282,0.065161,75.702558,74.695432,-1.4842767295597487e-06
3100.5,0.0011612641509433962,91.85903,0.103004,75.672039,73.932458,1.069182389937107e-06
3116.4,-0.02144848427672956,92.05968,0.065771,75.702558,75.183735,4.8616352201257865e-06
3132.3,0.015586761006289309,92.934767,0.072485,75.733077,75.153216,-2.6163522012578616e-06
3148.2,0.0015023207547169815,92.001404,0.095374,75.733077,75.397368,-4.1509433962264154e-07
3164.1,-0.0002669874213836468,92.875749,0.074927,75.672039,76.892797,7.421383647798741e-07
3180.0,-0.007090981132075473,91.861509,0.073401,75.672039,74.420761,2.59748427672956e-06
3195.9,0.0096704213836478,91.852634,0.068823,75.733077,76.282418,-2e-06
3211.8,-0.008319761006289308,91.699666,0.067907,75.64152,77.197987,3.031446540880503e-06
3227.7,0.012689685534591193,91.809292,0.063024,75.702558,78.60186,-2.528301886792453e-06
3243.6,-0.01035089937106918,91.863773,0.068823,75.702558,75.366849,2.8742138364779876e-06
3259.5,-0.0072331194968553465,92.076132,0.084388,75.672039,78.205113,2.1698113207547173e-06
3275.4,0.008954106918238995,93.001419,0.061804,75.672039,79.029125,-1.3584905660377358e-06
3291.3,0.0027578930817610064,92.939654,0.061804,75.702558,81.165453,-4.968553459119498e-07
3307.2,0.005469748427672956,92.938232,0.069738,75.702558,83.149186,-2.0754716981132077e-07
3323.1,-0.02202701886792453,91.834704,0.068518,75.672039,70.697447,4.823899371069182e-06
3339.0,0.00821158490566038,92.97044,0.08866,75.611001,71.460421,-7.610062893081755e-07
3354.9,0.0004287672955974847,92.060626,0.063024,75.64152,76.312937,2.452830188679245e-07
3370.8,0.015365452830188678,93.001419,0.089576,75.672039,76.648646,-2.119496855345912e-06
3386.7,-0.005183955974842768,92.974648,0.058141,75.672039,78.968087,1.6792452830188679e-06
3402.6,-0.004819830188679246,91.827348,0.068518,75.64152,75.794115,1.6603773584905657e-06
3418.5,0.005327647798742137,92.951675,0.124062,75.64152,75.122697,-1.761006289308176e-06
3434.4,0.004875691823899371,92.992389,0.074011,75.672039,70.209144,3.8993710691823877e-07
